RNCP1002;9497
RNCP1006/RNCP37239;8500
RNCP1007;8871
RNCP1008/RNCP37312;5073
RNCP10119/RNCP36330/RNCP39917;9315
RNCP1012/RNCP37384;8303
RNCP1013;9818
RNCP1019/RNCP38191;7560
RNCP10193/RNCP39901;9316
RNCP10194/RNCP39900;8500
RNCP10220/RNCP36551;11000
RNCP1029/RNCP37561;10500
RNCP10304/RNCP38308;7298
RNCP1033/RNCP38883;8540
RNCP1066/RNCP37197;15590
RNCP1068;8703
RNCP1078/RNCP37706/RNCP38576;11890
RNCP1083/RNCP36966;8466
RNCP1084/RNCP38360;7271
RNCP1085;8729
RNCP1088;7363
RNCP1097;8593
RNCP10980;8000
RNCP1109/RNCP37199;9000
RNCP11091/RNCP39143;8960
RNCP1120/RNCP38302;10200
RNCP1122/RNCP39801;7200
RNCP1132;6050
RNCP1133;7541
RNCP1135/RNCP39521;9047
RNCP1136;8000
RNCP11362/RNCP38407;12000
RNCP1140/RNCP37234;6075
RNCP1141/RNCP37892;7091
RNCP11432/RNCP38406;12000
RNCP1145/RNCP37240;7044
RNCP1146/RNCP37241;7831
RNCP11479/RNCP39445;11160
RNCP1150;8581
RNCP11500/RNCP38528;11794
RNCP11532;12000
RNCP11553/RNCP36986;7556
RNCP11651/RNCP36931;7500
RNCP1167/RNCP38432;8979
RNCP1171;8761
RNCP1172;9818
RNCP1173/RNCP38402;5250
RNCP1174/RNCP38381;8517
RNCP1176/RNCP37899;7904
RNCP1177;6285
RNCP11786;9000
RNCP1185;10892
RNCP1186;10350
RNCP11883/RNCP38328;9516
RNCP11913;6601
RNCP11926;7813
RNCP11934/RNCP37911;7650
RNCP11936/RNCP38444;7968
RNCP12049/RNCP36695;8179
RNCP12061/RNCP36617/RNCP39858;6030
RNCP12067/RNCP36459;9017
RNCP12113/RNCP37232;7680
RNCP12114/RNCP38422;11700
RNCP1212/RNCP37123;6927
RNCP12231;9217
RNCP12281/RNCP38231;5681
RNCP12290/RNCP37906/RNCP38571;7898
RNCP12378/RNCP36630/RNCP37836;7065
RNCP12470;9237
RNCP12508/RNCP37910;8829
RNCP1251;9113
RNCP1267/RNCP37943;10161
RNCP12732/RNCP38233;8574
RNCP12735;10895
RNCP12737;8333
RNCP12738;9267
RNCP12740;11160
RNCP12741/RNCP38959;9000
RNCP12766;10091
RNCP12796;9000
RNCP12802/RNCP37909;9079
RNCP12811/RNCP36085;11830
RNCP12815/RNCP37612;7805
RNCP12842/RNCP37245;7191
RNCP12843/RNCP37246;8000
RNCP12854;7650
RNCP12858;8290
RNCP12909/RNCP36955;8352
RNCP13002;7700
RNCP13006/RNCP36145;6932
RNCP13040;9568
RNCP13081/RNCP37635;8911
RNCP13090/RNCP36642/RNCP39120;14162
RNCP13128/RNCP37298;10030
RNCP13132/RNCP37433;12000
RNCP13134/RNCP37541;8836
RNCP13139/RNCP37200/RNCP37371/RNCP39276;7680
RNCP13296;7490
RNCP13349;8600
RNCP1338;7910
RNCP13387;5400
RNCP13444/RNCP36091/RNCP36431;9900
RNCP13466;8407
RNCP13587;8208
RNCP13596/RNCP37075;6938
RNCP13620/RNCP37098;6390
RNCP1363/RNCP36393;9100
RNCP13645/RNCP37176;8987
RNCP13646/RNCP36397;7525
RNCP13856/RNCP37491;6780
RNCP13862;8668
RNCP13863;9084
RNCP13864;8500
RNCP13869/RNCP38384;6543
RNCP13872/RNCP36790;8410
